,LyrName,Type,Stride,OutT(W),OutT(H),OutT(D),OutT(Size),InT(W),InT(H),InT(D),InT(Size),WgtT(W),WgtT(H),WgtT(D),WgtT(Num),simd_cycles,MAC,WgtT(Size),index,Load Cycles,Store Cycles,conv_cycles,Layer Cycles,tiles,Stage Cycles
56,layer80-conv;layer80-bn+layer80-scale,Convolution;BatchNorm+Scale,1,13,13,512,86528,13,13,1024,173056,1,1,1024,512,16224,88604672,524288,191,21632,10816,170918,170918,1,170918
59,layer89-conv;layer89-bn+layer89-scale,Convolution;BatchNorm+Scale,1,13,13,512,86528,13,13,256,43264,3,3,256,512,16224,199360512,1179648,201,5408,10816,346112,346112,1,346112
60,layer90-conv;layer90-bn+layer90-scale|layer88-conv;layer88-bn+layer88-scale|layer85-conv;layer85-bn+layer85-scale|layer35-conv;layer35-bn+layer35-scale,Convolution;BatchNorm+Scale|Convolution;BatchNorm+Scale|Convolution;BatchNorm+Scale|Convolution;BatchNorm+Scale,4,52,52,128,346112,13,13,512,86528,1,1,512,256,89232,155058176,131072,204,118976,59488,299102,299102,1,299102
61,layer91-conv;layer91-bn+layer91-scale,Convolution;BatchNorm+Scale,1,13,13,512,86528,13,13,256,43264,3,3,256,512,16224,199360512,1179648,207,5408,10816,346112,346112,1,346112
65,layer101-conv;layer101-bn+layer101-scale|layer105-conv;layer105-bn+layer105-scale,Convolution;BatchNorm+Scale|Convolution;BatchNorm+Scale,2,13,13,256,43264,13,13,128,21632,3,3,128,256,16224,99680256,294912,220,5408,10816,173056,173056,1,173056
66,layer102-conv;layer102-bn+layer102-scale|layer104-conv;layer104-bn+layer104-scale|layer97-conv;layer97-bn+layer97-scale|layer100-conv;layer100-bn+layer100-scale|layer92-conv;layer92-bn+layer92-scale|layer103-conv;layer103-bn+layer103-scale,Convolution;BatchNorm+Scale|Convolution;BatchNorm+Scale|Convolution;BatchNorm+Scale|Convolution;BatchNorm+Scale|Convolution;BatchNorm+Scale|Convolution;BatchNorm+Scale,6,13,13,256,43264,13,13,256,43264,1,1,256,128,32448,94142464,32768,223,35152,21632,171984,171984,1,171984
70,layer106-conv,Convolution,1,13,13,255,43095,13,13,256,43264,1,1,256,255,0,199360512,65280,235,5408,5386,384568,384568,1,384568
71,layer93-conv;layer93-bn+layer93-scale,Convolution;BatchNorm+Scale,1,13,13,512,86528,13,13,256,43264,3,3,256,512,16224,199360512,1179648,236,5408,10816,346112,346112,1,346112
72,layer94-conv,Convolution,1,13,13,255,43095,13,13,512,86528,1,1,512,255,0,797442048,130560,239,10816,5386,1538275,1538275,1,1538275
73,layer81-conv;layer81-bn+layer81-scale,Convolution;BatchNorm+Scale,1,13,13,1024,173056,13,13,512,86528,3,3,512,1024,32448,797442048,4718592,240,10816,21632,1384448,1384448,1,1384448

INPUTS
Filename: csvs/yolov3.csv
Number of Tiles: 64
MAC Bandwidth: 576
Vector Width: 128
NOC Bandwidth: 8

OUTPUTS
Total MACS: 2.903e+10
Mac Cycles: 5.106e+07
Mac Util: 51%
Total Cycles: 5.201e+07
Total Stage Cycles: 8.127e+05
IPS/Chip: 650.0
