,LyrName,Type,Stride,OutT(W),OutT(H),OutT(D),OutT(Size),InT(W),InT(H),InT(D),InT(Size),WgtT(W),WgtT(H),WgtT(D),WgtT(Num),simd_cycles,MAC,WgtT(Size),index,Load Cycles,Store Cycles,conv_cycles,Layer Cycles,tiles,Stage Cycles
42,conv16_2_mbox_loc;conv16_2_mbox_loc_perm+conv16_2_mbox_loc_flat,Convolution;Permute+Flatten,2,1,1,96,96,2,2,256,1024,1,1,256,24,54,24576,6144,56,128,12,46,128,1,128
43,conv17_1;conv17_1/relu,Convolution;ReLU,2,2,2,64,256,2,2,256,1024,1,1,256,64,16,65536,16384,58,128,32,125,128,1,128
44,conv17_2;conv17_2/relu+conv17_2_mbox_priorbox,Convolution;ReLU+PriorBox,1,4,4,2,32,2,2,64,256,3,3,64,128,10,73728,73728,59,32,4,128,128,1,128
45,conv17_2_mbox_conf;conv17_2_mbox_conf_perm+conv17_2_mbox_conf_flat,Convolution;Permute+Flatten,1,1,1,126,126,1,1,128,128,1,1,128,126,70,16128,16128,62,16,15,31,70,1,70
46,conv17_2_mbox_loc;conv17_2_mbox_loc_perm+conv17_2_mbox_loc_flat,Convolution;Permute+Flatten,21,1,1,24,24,1,1,128,128,1,1,128,24,13,3072,3072,68,16,3,5,16,1,16

INPUTS
Filename: csvs/ssd_mobilenet_v2.csv
Number of Tiles: 64
MAC Bandwidth: 576
Vector Width: 128
NOC Bandwidth: 8

OUTPUTS
Total MACS: 9.077e+09
Mac Cycles: 1.596e+07
Mac Util: 17%
Total Cycles: 1.614e+07
Total Stage Cycles: 2.522e+05
IPS/Chip: 676.0
