LyrName,Type,InT(W),InT(H),InT(D),InDatatype,OutT(W),OutT(H),OutT(D),OutDatatype,WgtT(W),WgtT(H),WgtT(D),WgtT(Num),WgtDatatype,Si,Sj,G,Activation Function,Parent Op,Num_Layers,Gflops,O/P Activation (MB),Weight (MB)
BroadCast Mul_63,BroadCast_Mul,1,1,1152,Int8,7,7,1152,Int8,,,,,Int8,,,,,"Sigmoid_63, Conv_DW_61",,,,
Conv_64,Convolution,7,7,1152,Int8,7,7,320,Int8,1,1,1,368640,Int8,1,1,1,BN,BroadCast Mul_63,1,3.61E-02,1.50E-02,3.52E-01
Conv_65,Convolution,7,7,320,Int8,7,7,1280,Int8,1,1,1,409600,Int8,1,1,1,"BN, Swish",Conv_64,1,4.01E-02,5.98E-02,3.91E-01
Global Average Pooling,AvgPool,7,7,1280,Int8,1,1,1280,Int8,,,,,Int8,,,,,Conv_65,,,,
FC,MatMul,1,1,1280,Int8,1,1,1000,Int8,1,1,1,1280000,Int8,1,1,1,,Global Average Pooling,1,2.56E-03,9.54E-04,1.22E+00
SoftMax,SoftMax,1,1,1000,Int8,1,1,1000,Int8,,,,,Int8,,,,,FC,,,,
,,,,,,,,,,,,,,,,,,,,,7.55E-01,,4.36E+00
,,,,,,,,,,,,,,,,,,,,,2.17E-02,,
,,,,,,,,,,,,,,,,,,,,,6.67E-01,,
,,,,,,,,,,,,,,,,,,,,,6.59E-02,,
